pca1,pca2,model_type
5.443167676479527,18.189958156468112,Baseline
-6.484581944235555,28.352491516475236,Baseline
0.08784493161361105,17.432642340357507,Baseline
55.47701764455267,-29.39481311137393,Baseline
18.8627030629309,23.197322090898982,Baseline
-14.365566628993657,-23.51284205288992,Baseline
-5.443856056952195,26.655873713846013,Baseline
54.832814830366,-29.93459040366089,Baseline
-12.9199606031934,2.807606974066571,Baseline
21.754105952650768,5.84275748606172,Baseline
0.6904592250655258,21.69876363781143,Baseline
1.381323033684683,33.48946279875344,Baseline
-7.413354682979611,7.988700590840085,Baseline
14.55008272286072,24.109832259653412,Baseline
-7.00059085534353,-2.559947594593792,Baseline
0.724481960793287,13.090857231571619,Baseline
2.5495147201352775,4.530464360631436,Baseline
-8.666804569545427,25.370744017906016,Baseline
-3.32286155862283,6.675088155165212,Baseline
-15.632615802460007,-1.3147544597807903,Baseline
-12.8433041861133,-1.9861681238835018,Baseline
3.104193015196345,32.50380920237777,Baseline
48.953997587206366,-28.217286740502363,Baseline
9.536749608406915,26.186246825009803,Baseline
-15.768923192818328,-16.395358603449807,Baseline
-8.514396635978983,25.66151752116434,Baseline
-24.00380739160575,-10.68156914186473,Baseline
52.69345296633506,-25.852514722931016,Baseline
7.017569340659031,-4.896641928086721,Baseline
-12.874459953643779,-11.787270724665701,Baseline
-30.105156324814526,-22.50887386822207,Baseline
0.17693281518076087,19.64855031404508,Baseline
55.540343943427466,-30.468261324762466,Baseline
-11.100196179030881,-10.940061310280608,Baseline
11.67825757976847,27.059163574157136,Baseline
-17.374530700110398,-4.484398014406743,Baseline
3.8479447529912663,27.923433716153333,Baseline
55.43459832911613,-30.520116570193114,Baseline
-30.22102362650998,-16.304692039159768,Baseline
-8.493384229504493,-4.885673704436619,Baseline
-15.729350911344572,-9.306335383175185,Baseline
-2.876708639530438,25.333238482451286,Baseline
-6.375568539816735,1.9313367767257554,Baseline
55.099698708496696,-25.80134018712827,Baseline
-14.47933709239332,-13.677137729740178,Baseline
6.90595318204985,17.30848038973114,Baseline
-8.937483275599744,22.93901934745574,Baseline
-16.370118164642644,-19.717732433406834,Baseline
-13.227047334196852,-5.499005739085074,Baseline
59.585718223941946,-31.5772329174708,Baseline
-22.295550938292873,-16.571962995973198,Baseline
-4.542282777186329,29.111690767939844,Baseline
54.37681021031385,-25.97906443138605,Baseline
-5.859310686277566,-10.107202329838488,Baseline
6.708362475892769,27.016944119576365,Baseline
-6.636418075522778,-5.515142981434362,Baseline
53.10508794181282,-32.980420410663626,Baseline
0.4844670409808452,9.138044276080985,Baseline
-23.204511141424515,-14.335513988021829,Baseline
-0.8293289898120705,30.034375300455725,Baseline
-27.893174329801848,-20.83505088672504,Baseline
-7.100109403069709,30.926443840629798,Baseline
11.020977023982702,18.150731319781052,Baseline
7.842065969278385,13.542767070899831,Baseline
2.4733090542856777,-13.47290603283374,Baseline
-2.3834024479472427,-10.364173989445217,Baseline
-4.145926772696082,25.448932274011035,Baseline
17.33120667782037,-7.857683754595194,Baseline
7.560652806128434,15.413928729039176,Baseline
-28.369848075044956,-16.91691024308005,Baseline
2.5286245681732016,8.489390007351977,Baseline
7.89726973214698,28.316650489012073,Baseline
48.30095129310445,-30.385974114386507,Baseline
16.179161068725726,18.055521025475986,Baseline
-8.700605873747678,-8.770063630806483,Baseline
7.383298734853389,20.678834457230447,Baseline
5.045542700504328,32.56749008045292,Baseline
-6.122912350589621,2.352544982788581,Baseline
57.211896692079314,-29.44673966127238,Baseline
8.656429142807273,22.971389436559523,Baseline
-16.700072936291576,-9.813459200034552,Baseline
4.032939788683751,32.090341062688275,Baseline
56.57577136554904,-28.832262511697262,Baseline
13.402637544656315,20.70020162200902,Baseline
-14.633751152797485,-15.80718758446353,Baseline
-13.446604528460254,7.387141926132214,Baseline
0.1379721376503294,25.606727611877663,Baseline
-11.99496074845688,-7.432712414659704,Baseline
46.015605693394804,-16.041930670441676,Baseline
13.104871547277144,21.03140840543424,Baseline
-2.9508490641858898,13.189123610360904,Baseline
-3.2586007206260885,36.31267921810759,Baseline
15.30844015379636,21.34827616446676,Baseline
17.881048053311044,17.940563429767643,Baseline
-6.38680831351538,-11.231037556964345,Baseline
-2.6153284663080907,12.325584632791955,Baseline
-1.470396062096455,27.311026243724257,Baseline
0.06052574858898268,20.518061287265493,Baseline
17.330236583186554,20.857828733274857,Baseline
48.46878166272663,-15.47520586334521,Baseline
-0.8278058916117383,14.802825200691391,Baseline
-1.1864998252036671,31.123488778225305,Baseline
18.638879560922113,16.649971018711216,Baseline
28.859145362842654,10.8460693483529,Baseline
-3.6452893372381685,-1.682067192339382,Baseline
-3.118808126173938,14.023620640496489,Baseline
-2.151575695906559,-6.91956288282464,Baseline
-8.700990869095161,28.357900511376176,Baseline
49.843088775200066,-21.239073249212222,Baseline
8.76420449949656,22.569938836051954,Baseline
-1.8762241510108253,18.589191814103437,Baseline
4.451577368454976,30.31193251174066,Baseline
-3.0207953289927327,8.428961392358758,Baseline
46.96727124559819,-30.608919055351006,Baseline
14.263872605914006,22.006044172930277,Baseline
3.7113575252352238,16.43663283977528,Baseline
1.6714635321699984,-14.024196303829335,Baseline
43.901624759088605,-27.801783477215576,Baseline
-1.9514904059010536,27.39894374670466,Baseline
-21.23930322213541,-14.19301763709688,Baseline
11.103923571166202,24.565577912394225,Baseline
-1.2080873607170075,38.45024021303035,Baseline
51.34140242789939,-30.787664650843116,Baseline
3.5248715036827614,22.752169138512507,Baseline
-4.121595232518986,-6.822956902076066,Baseline
-20.636143786205484,-11.319023660569782,Baseline
-0.5381321034811691,33.79835485928603,Baseline
