pca1,pca2,model_type
-10.506208365793771,-33.43894097502193,Baseline
8.933200605814376,13.477819394324026,Baseline
-11.762864595671108,-33.07740296233909,Baseline
35.488488838423415,-4.885795550670014,Baseline
23.410810459479578,12.047757472521312,Baseline
-26.67154163036037,16.463260581668866,Baseline
9.469567728257346,12.794591363474547,Baseline
34.61728965531157,-4.768738250534386,Baseline
-12.14922588819505,-29.681135694775953,Baseline
26.505246916322207,7.669269589406293,Baseline
-11.802600419174563,-33.212005914795725,Baseline
14.308924726967343,11.297438590536897,Baseline
-7.214078310259115,-30.832505254371288,Baseline
11.143642337229286,11.693866657124088,Baseline
-17.364740028921513,15.27125227605034,Baseline
-9.598088823010519,-30.82288106112776,Baseline
-10.876005433352192,-35.17402456603118,Baseline
12.127869277942228,9.652720978481485,Baseline
-12.088648428565017,-33.057259894184696,Baseline
-26.391815511999614,14.249747990614924,Baseline
-31.41132929020927,15.77518905364261,Baseline
10.356844006478061,12.758896376612944,Baseline
32.049961404560726,-4.855258612114103,Baseline
1.6835897459124214,11.602927261755676,Baseline
-21.23234718821499,13.853648170610999,Baseline
11.114675337704284,9.58253196670768,Baseline
-30.038394957953983,13.961146826814192,Baseline
36.40090015619403,-1.1614114349488485,Baseline
-5.796881104619874,-33.22556450968438,Baseline
-13.375556893926658,9.08486071802814,Baseline
-42.10903587618708,20.286899799578535,Baseline
10.504738697922921,11.569345505053496,Baseline
55.72051697531951,-10.240584914226948,Baseline
-8.532038857765949,10.019208645470627,Baseline
2.2264429878089946,11.498476853338357,Baseline
-24.120645604386123,11.680529773349377,Baseline
12.285729877382048,12.288553514843862,Baseline
34.43084975983529,-4.723477109996686,Baseline
-32.89877562857079,14.760745161279464,Baseline
-18.595365479528027,-32.3500720406811,Baseline
-37.3097059069663,17.183021563367326,Baseline
6.902912391956354,13.744812632838771,Baseline
-13.46927816972892,-31.8619946605689,Baseline
62.279432031365346,-10.281387754354745,Baseline
-28.615728183126276,10.094105068907709,Baseline
11.958729311418901,11.010946612770779,Baseline
7.970023940890416,14.020729318859049,Baseline
-26.573117730347874,16.204861298205408,Baseline
-8.147277676497774,-30.131308846774864,Baseline
43.750548700444995,-3.187727258102945,Baseline
-36.19014996847498,18.20974060877753,Baseline
8.737829555404815,12.031002815764396,Baseline
63.892170661010354,-10.38823582178994,Baseline
-13.328775459117491,-30.77031485695513,Baseline
1.7165014868126085,10.754990648355854,Baseline
-14.734651810086588,12.671384663681737,Baseline
44.43483029865831,-5.997043401984899,Baseline
4.259607433520001,11.295295198392793,Baseline
-34.440769955772005,16.204731882478423,Baseline
